district_norm,district_raw,state_raw,latitude,longitude,geocoded_name,geocoded_admin1,geocoded_admin2,resolved
narmadapuram,Narmadapuram,Odisha,22.74747,77.72736,Narmadapuram,Madhya Pradesh,Hoshangābād District,True
seoni,Seoni,Odisha,22.08503,79.55037,Seoni,Madhya Pradesh,Seoni,True
alirajpur,Alirajpur,Odisha,22.30393,74.35568,Alirajpur,Madhya Pradesh,Alirajpur,True
chhindwara,Chhindwara,Odisha,22.05697,78.93958,Chhindwāra,Madhya Pradesh,Chhindwara,True
harda,Harda,Odisha,20.03911,82.72139,Hardāpāra,Odisha,Nuapada,True
khargone khargone west nimar,Khargone (Khargone (West Nimar)),Odisha,,,,,,False
east nimar,East Nimar,Odisha,,,,,,False
anuppur,Anuppur,Odisha,23.10344,81.69083,Anūppur,Madhya Pradesh,Anuppur,True
sidhi,Sidhi,Odisha,24.4038,81.87954,Sidhi,Madhya Pradesh,Sidhi,True
mandsaur,Mandsaur,Odisha,24.07184,75.06986,Mandsaur,Madhya Pradesh,Mandasor District,True
balaghat,Balaghat,Odisha,21.8156,80.18845,Bālāghāt,Madhya Pradesh,Bālāghāt District,True
sonbhadra,Sonbhadra,Odisha,25.12637,84.72867,Sonbhadra,Bihar,Arwal,True
amethi,Amethi,Odisha,26.15696,81.80519,Amethī,Uttar Pradesh,Amethi,True
ghaziabad,Ghaziabad,Odisha,28.66535,77.43915,Ghaziabad,Uttar Pradesh,Ghaziabad,True
sambhal,Sambhal,Odisha,28.58498,78.56959,Sambhal,Uttar Pradesh,Sambhal,True
mahoba,Mahoba,Odisha,25.2905,79.87533,Mahoba,Uttar Pradesh,Mahoba Quarter,True
saharanpur,Saharanpur,Odisha,29.9679,77.54522,Sahāranpur,Uttar Pradesh,Sahāranpur District,True
bijnor,Bijnor,Odisha,29.373,78.13636,Bijnor,Uttar Pradesh,Bijnor district,True
muzaffarnagar,Muzaffarnagar,Odisha,29.47091,77.70332,Muzaffarnagar,Uttar Pradesh,Muzaffarnagar district,True
baghpat,Baghpat,Odisha,28.94485,77.21865,Bagpat,Uttar Pradesh,Baghpat District,True
meerut,Meerut,Odisha,28.98002,77.70636,Meerut,Uttar Pradesh,Meerut,True
moradabad,Moradabad,Odisha,28.83893,78.77684,Morādābād,Uttar Pradesh,Moradabad,True
rampur,Rampur,Odisha,21.07351,84.34095,Rāmpur,Odisha,Sambalpur District,True
shamli,Shamli,Odisha,29.4497,77.30959,Shamli,Uttar Pradesh,Shamli,True
singrauli,Singrauli,Odisha,24.19973,82.67535,Singrauli,Madhya Pradesh,Singrauli,True
balrampur,Balrampur,Odisha,19.93878,83.204,Balrāmpur,Odisha,Kalahandi,True
pratapgarh,Pratapgarh,Odisha,25.92058,81.99629,Bela,Uttar Pradesh,Partabgarh District,True
burhanpur,Burhanpur,Odisha,21.30868,76.23026,Burhānpur,Madhya Pradesh,Burhanpur,True
morena,Morena,Odisha,26.49892,77.99534,Morena,Madhya Pradesh,Morena,True
bhind,Bhind,Odisha,26.56671,78.78728,Bhind,Madhya Pradesh,Bhind,True
gwalior,Gwalior,Odisha,26.22983,78.17337,Gwalior,Madhya Pradesh,Gwalior District,True
sheopur,Sheopur,Odisha,25.66472,76.69616,Sheopur,Madhya Pradesh,Sheopur,True
shivpuri,Shivpuri,Odisha,25.42378,77.66223,Shivpuri,Madhya Pradesh,Shivpuri,True
tikamgarh,Tikamgarh,Odisha,24.74327,78.83061,Tīkamgarh,Madhya Pradesh,Tikamgarh,True
neemuch,Neemuch,Odisha,24.45949,74.86625,Nimach,Rajasthan,,True
rewa,Rewa,Odisha,21.05961,82.64294,Rewa,Odisha,Nuapada,True
satna,Satna,Odisha,24.57726,80.82719,Satna,Madhya Pradesh,Satna,True
guna,Guna,Odisha,19.98379,83.28011,Gunang,Odisha,Kalahandi,True
ashoknagar,Ashoknagar,Odisha,24.57578,77.73123,Ashoknagar,Madhya Pradesh,Ashoknagar District,True
hamirpur,Hamirpur,Odisha,25.9553,80.14842,Hamīrpur,Uttar Pradesh,Hamirpur,True
barwani,Barwani,Odisha,22.03232,74.89982,Barwāni,Madhya Pradesh,Barwani,True
agar malwa,Agar-Malwa,Odisha,,,,,,False
datia,Datia,Odisha,25.67312,78.45908,Datia,Madhya Pradesh,Datia,True
chittorgarh,Chittorgarh,Odisha,24.88963,74.62403,Chittorgarh,Rajasthan,Chittorgarh,True
ganganagar,Ganganagar,Odisha,24.60769,92.96395,Ganganagar,Assam,Cachar,True
hanumangarh,Hanumangarh,Odisha,29.58182,74.32938,Hanumāngarh,Rajasthan,Hanumangarh,True
bikaner,Bikaner,Odisha,28.01762,73.31495,Bikaner,Rajasthan,Bīkāner District,True
jhajjar,Jhajjar,Odisha,28.6063,76.6565,Jhajjar,Haryana,Jhajjar,True
gurugram,Gurugram,Odisha,19.85121,83.46584,Gurugramam,Odisha,Rayagada,True
faridabad,Faridabad,Odisha,28.41124,77.31316,Faridabad,Haryana,Faridabad,True
mahendragarh,Mahendragarh,Odisha,28.26935,76.15253,Mahendragarh,Haryana,Mahendragarh,True
rewari,Rewari,Odisha,28.199,76.6183,Rewāri,Haryana,Rewari,True
nuh,Nuh,Odisha,20.31294,85.04116,Nuhārkhani,Odisha,Nayagarh,True
palwal,Palwal,Odisha,28.14469,77.32546,Palwal,Haryana,Palwal District,True
charki dadri,Charki Dadri,Odisha,28.59166,76.27161,Charkhi Dādri,Haryana,Charki Dadri,True
yamunanagar,Yamunanagar,Odisha,30.12796,77.28371,Yamunanagar,Haryana,Yamunanagar District,True
kurukshetra,Kurukshetra,Odisha,29.9657,76.837,Kurukshetra,Haryana,Kurukshetra,True
kaithal,Kaithal,Odisha,29.80153,76.39959,Kaithal,Haryana,Kaithal,True
sirsa,Sirsa,Odisha,22.23395,86.65457,Sirsā,Odisha,Mayurbhanj,True
karnal,Karnal,Odisha,29.69197,76.98448,Karnāl,Haryana,Karnāl District,True
jind,Jind,Odisha,29.31577,76.31502,Jīnd,Haryana,Jind,True
fatehabad,Fatehabad,Odisha,29.51525,75.45554,Fatehābād,Haryana,Fatehabad,True
hisar,Hisar,Odisha,29.15394,75.72294,Hisar,Haryana,Hissār District,True
panipat,Panipat,Odisha,29.38747,76.96825,Panipat,Haryana,Panipat District,True
sonipat,Sonipat,Odisha,28.99478,77.01937,Sonīpat,Haryana,Sonipat,True
bhiwani,Bhiwani,Odisha,28.79304,76.13968,Bhiwāni,Haryana,Bhiwani,True
rohtak,Rohtak,Odisha,28.89447,76.58917,Rohtak,Haryana,Rohtak,True
panchkula,Panchkula,Odisha,30.69461,76.8504,Panchkula,Haryana,Panchkula district,True
ambala,Ambala,Odisha,19.80917,83.07542,Ambalāsa,Odisha,Kalahandi,True
rajsamand,Rajsamand,Odisha,25.07145,73.8798,Rājsamand,Rajasthan,Rajasmand District,True
ajmer,Ajmer,Odisha,26.4521,74.63867,Ajmer,Rajasthan,Ajmer district,True
banswara,Banswara,Odisha,23.54109,74.4425,Bānswāra,Rajasthan,Banswara,True
dungarpur,Dungarpur,Odisha,23.84306,73.71466,Dūngarpur,Rajasthan,Dungarpur,True
chhatarpur,Chhatarpur,Odisha,19.7246,83.40138,Chhatarpur,Odisha,Kalahandi,True
panna,Panna,Odisha,18.26275,81.85437,Pannar,Odisha,Malkangiri,True
betul,Betul,Odisha,21.90056,77.90229,Betūl,Madhya Pradesh,Betūl District,True
niwari,Niwari,Odisha,25.34911,78.79974,Nivāri,Madhya Pradesh,Niwari,True
churu,Churu,Odisha,28.30415,74.96718,Chūru,Rajasthan,Churu,True
jhunjhunu,Jhunjhunu,Odisha,28.12559,75.39797,Jhunjhunūn,Rajasthan,Jhunjhunu,True
jaisalmer,Jaisalmer,Odisha,26.91763,70.90387,Jaisalmer,Rajasthan,Jaisalmer,True
sikar,Sikar,Odisha,20.61487,84.29648,Sikāri,Odisha,Kandhamal,True
alwar,Alwar,Odisha,27.56246,76.625,Alwar,Rajasthan,Alwar,True
jaipur,Jaipur,Odisha,20.29784,84.99775,Jaipur,Odisha,Nayagarh,True
jodhpur,Jodhpur,Odisha,21.15487,82.7109,Jodhpur,Odisha,Bargarh,True
bharatpur,Bharatpur,Odisha,20.99348,84.44053,Bharatpur,Odisha,Anugul,True
nagaur,Nagaur,Odisha,27.20201,73.73394,Nāgaur,Rajasthan,Nagaur,True
lalitpur,Lalitpur,Odisha,24.69007,78.41915,Lalitpur,Uttar Pradesh,Lalitpur,True
dausa,Dausa,Odisha,26.89,76.33584,Dausa,Rajasthan,Dausa,True
dholpur,Dholpur,Odisha,20.70376,84.48351,Dholpur,Odisha,Bauda District,True
barmer,Barmer,Odisha,25.74572,71.39211,Bārmer,Rajasthan,Bārmer District,True
sawai madhopur,Sawai Madhopur,Odisha,26.02301,76.34408,Sawai Madhopur,Rajasthan,Sawai Madhopur,True
tonk,Tonk,Odisha,20.06279,82.47078,Tonkamal,Odisha,Nuapada,True
pali,Pali,Odisha,18.67209,82.69457,Paliba,Odisha,Koraput District,True
bhilwara,Bhilwara,Odisha,25.34707,74.64081,Bhilwara,Rajasthan,Bhīlwāra District,True
jalore,Jalore,Odisha,,,,,,False
bundi,Bundi,Odisha,21.78062,83.91393,Bundia,Odisha,Jharsuguda,True
kota,Kota,Odisha,18.39558,82.94472,Kotab,Odisha,Koraput District,True
sirohi,Sirohi,Odisha,24.88838,72.84794,Sirohi,Rajasthan,Sirohi,True
baran,Baran,Odisha,20.40714,85.83496,Bārang,Odisha,Cuttack District,True
udaipur,Udaipur,Odisha,20.62238,83.74428,Udaipur,Odisha,Bauda District,True
jhalawar,Jhalawar,Odisha,24.59633,76.16499,Jhālāwār,Rajasthan,Jhalawar,True
karauli,Karauli,Odisha,26.49831,77.02755,Karauli,Rajasthan,Karauli,True
mirzapur,Mirzapur,Odisha,25.1449,82.56534,Mirzāpur,Uttar Pradesh,Mirzapur,True
raisen,Raisen,Odisha,23.33033,77.7811,Raisen,Madhya Pradesh,Raisen,True
chandauli,Chandauli,Odisha,25.25803,83.26825,Chandauli,Uttar Pradesh,Chandauli,True
sitamarhi,Sitamarhi,Odisha,26.59357,85.4906,Sītāmarhi,Bihar,Sītāmarhi District,True
sheohar,Sheohar,Odisha,26.51393,85.29341,Sheohar,Bihar,Sheohar District,True
gopalganj,Gopalganj,Odisha,26.46734,84.44041,Gopālganj,Bihar,Gopalganj,True
samastipur,Samastipur,Odisha,25.86222,85.77953,Samāstipur,Bihar,Samastipur,True
katihar,Katihar,Odisha,25.53852,87.57044,Katihar,Bihar,Katihar,True
khagaria,Khagaria,Odisha,25.5022,86.46708,Khagaria,Bihar,Khagaria,True
bhojpur,Bhojpur,Odisha,21.65118,84.40641,Bhojpur,Odisha,Sambalpur District,True
buxar,Buxar,Odisha,25.57548,83.98043,Buxar,Bihar,Buxar,True
darbhanga,Darbhanga,Odisha,26.15216,85.89707,Darbhanga,Bihar,Darbhanga district,True
saharsa,Saharsa,Odisha,25.87498,86.59611,Saharsa,Bihar,Saharsa,True
kaimur bhabua,Kaimur (Bhabua),Odisha,,,,,,False
rohtas,Rohtas,Odisha,24.62978,83.92,Rohtas,Bihar,Rohtas District,True
jamui,Jamui,Odisha,24.92606,86.22531,Jamūī,Bihar,Jamui,True
purbi champaran,Purbi Champaran,Odisha,,,,,,False
banka,Banka,Odisha,20.88149,82.49988,Banka,Odisha,Nuapada,True
gaya,Gaya,Odisha,21.70059,84.27719,Gayāmāl,Odisha,Sambalpur District,True
munger,Munger,Odisha,25.37459,86.47455,Munger,Bihar,Munger District,True
vaishali,Vaishali,Odisha,25.99197,85.08156,Vaishali,Bihar,Muzaffarpur district,True
begusarai,Begusarai,Odisha,25.41853,86.13389,Begusarai,Bihar,Begusarai,True
bhagalpur,Bhagalpur,Odisha,25.24446,86.97183,Bhagalpur,Bihar,Bhāgalpur District,True
lakhisarai,Lakhisarai,Odisha,,,,,,False
sheikhpura,Sheikhpura,Odisha,25.13994,85.84096,Sheikhpura,Bihar,Sheikhpura,True
arwal,Arwal,Odisha,25.24281,84.66571,Arwal,Bihar,Arwal,True
jehanabad,Jehanabad,Odisha,25.21368,84.9871,Jahānābād,Bihar,Jehanabad,True
nalanda,Nalanda,Odisha,,,,,,False
patna,Patna,Odisha,21.63612,85.89683,Patna,Odisha,Kendujhar,True
saran,Saran,Odisha,20.92552,85.26403,Saranga,Odisha,Dhenkānāl District,True
siwan,Siwan,Odisha,26.22096,84.35609,Siwān,Bihar,Siwan,True
nawada,Nawada,Odisha,24.8867,85.54364,Nawāda,Bihar,Nawada District,True
muzaffarpur,Muzaffarpur,Odisha,26.12259,85.39055,Muzaffarpur,Bihar,Muzaffarpur district,True
pashchim champaran,Pashchim Champaran,Odisha,,,,,,False
deogarh,Deogarh,Odisha,21.53827,84.73337,Deogarh,Odisha,Deogarh,True
bhadrak,Bhadrak,Odisha,21.05447,86.5156,Bhadrak,Odisha,Bhadrak,True
dhenkanal,Dhenkanal,Odisha,20.65744,85.59693,Dhenkānāl,Odisha,Dhenkānāl District,True
jajapur,Jajapur,Odisha,16.72579,77.54201,Jājāpur,Telangana,Narayanpet,True
subarnapur,Subarnapur,Odisha,20.87612,84.3709,Subarnapur,Odisha,Anugul,True
nuapada,Nuapada,Odisha,20.8167,82.5333,Nuapada,Odisha,Nuapada,True
balangir,Balangir,Odisha,20.70419,83.49029,Balāngīr,Odisha,Balangir,True
boudh,Boudh,Odisha,,,,,,False
cuttack,Cuttack,Odisha,20.46497,85.87927,Cuttack,Odisha,Cuttack District,True
kandhamal,Kandhamal,Odisha,,,,,,False
nayagarh,Nayagarh,Odisha,20.12882,85.09626,Nayāgarh,Odisha,Nayagarh,True
khordha,Khordha,Odisha,20.18268,85.61629,Khordha,Odisha,Khordha,True
kalahandi,Kalahandi,Odisha,20.13661,85.0799,Kalāhāndi,Odisha,Nayagarh,True
jagatsinghapur,Jagatsinghapur,Odisha,20.2557,86.17112,Jagatsinghapur,Odisha,Jagatsinghapur,True
sambalpur,Sambalpur,Odisha,21.46527,83.97573,Sambalpur,Odisha,Sambalpur District,True
puri,Puri,Odisha,19.79825,85.82494,Puri,Odisha,Puri,True
rayagada,Rayagada,Odisha,19.17132,83.41428,Rāyagada,Odisha,Rayagada,True
bhadohi,Bhadohi,Odisha,25.39526,82.5703,Bhadohi,Uttar Pradesh,Bhadohi district,True
malkangiri,Malkangiri,Odisha,17.21222,77.51715,Malkangiri,Telangana,Vikarabad,True
anugul,Anugul,Odisha,,,,,,False
kendrapara,Kendrapara,Odisha,20.50166,86.42227,Kendrāparha,Odisha,Kendrapara,True
ganjam,Ganjam,Odisha,19.31151,84.7929,Brahmapur,Odisha,Ganjam,True
gajapati,Gajapati,Odisha,18.27936,83.33647,Gajapatinagaram,Andhra Pradesh,Vizianagaram District,True
mayurbhanj,Mayurbhanj,Odisha,21.93458,86.72852,Baripāda,Odisha,Mayurbhanj,True
sundargarh,Sundargarh,Odisha,27.37421,78.39282,Sundargarh,Uttar Pradesh,Etah district,True
kendujhar,Kendujhar,Odisha,21.51945,83.36356,Kendujharan,Odisha,Bargarh,True
baleshwar,Baleshwar,Odisha,21.49266,86.93348,Balasore,Odisha,Balasore District,True
jharsuguda,Jharsuguda,Odisha,21.85531,84.00698,Jharsuguda,Odisha,Jharsuguda,True
bargarh,Bargarh,Odisha,21.33348,83.61905,Bargarh,Odisha,Bargarh,True
nagpur,Nagpur,Odisha,20.1161,85.15401,Nāgpur,Odisha,Nayagarh,True
madhepura,Madhepura,Odisha,25.92127,86.79271,Madhepura,Bihar,Madhepura,True
koraput,Koraput,Odisha,18.81199,82.71048,Koraput,Odisha,Koraput District,True
supaul,Supaul,Odisha,26.11527,86.59509,Supaul,Bihar,Supaul,True
kannauj,Kannauj,Odisha,27.05524,79.9188,Kannauj,Uttar Pradesh,Kannauj,True
lucknow,Lucknow,Odisha,26.83928,80.92313,Lucknow,Uttar Pradesh,Lucknow,True
basti,Basti,Odisha,20.25185,84.38419,Bastingia,Odisha,Kandhamal,True
gorakhpur,Gorakhpur,Odisha,19.23351,83.10413,Gorakhpur,Odisha,Rayagada,True
sant kabir nagar,Sant Kabir Nagar,Odisha,,,,,,False
unnao,Unnao,Odisha,26.54706,80.48781,Unnāo,Uttar Pradesh,Unao District,True
etawah,Etawah,Odisha,26.77615,79.02133,Etāwah,Uttar Pradesh,Etāwah District,True
kanpur nagar nagar,Kanpur nagar Nagar,Odisha,,,,,,False
auraiya,Auraiya,Odisha,26.46517,79.50918,Auraiya,Uttar Pradesh,Auraiya,True
ayodhya,Ayodhya,Odisha,21.63333,86.6,Ayodhya,Odisha,Mayurbhanj,True
kanpur nagar dehat,Kanpur nagar Dehat,Odisha,,,,,,False
deoria,Deoria,Odisha,26.50167,83.77936,Deoria,Uttar Pradesh,Deoria,True
sultanpur,Sultanpur,Odisha,26.25788,82.07269,Sultānpur,Uttar Pradesh,Sultānpur District,True
kushinagar,Kushinagar,Odisha,26.74134,83.88689,Kushinagar,Uttar Pradesh,Kushi Nagar,True
ambedkar nagar,Ambedkar Nagar,Odisha,,,,,,False
jalaun,Jalaun,Odisha,26.1451,79.3366,Jālaun,Uttar Pradesh,Jalaun,True
azamgarh,Azamgarh,Odisha,26.06832,83.18358,Azamgarh,Uttar Pradesh,Azamgarh District,True
mau,Mau,Odisha,18.76169,82.49355,Maūli,Odisha,Koraput District,True
fatehpur,Fatehpur,Odisha,25.92774,80.81266,Fatehpur,Uttar Pradesh,Fatehpur District,True
ballia,Ballia,Odisha,25.42139,86.31445,Ballia,Bihar,Begusarai,True
jhansi,Jhansi,Odisha,25.45887,78.57994,Jhānsi,Uttar Pradesh,Jhānsi District,True
banda,Banda,Odisha,21.41522,83.68574,Banda,Odisha,Bargarh,True
ghazipurr,Ghazipurr,Odisha,,,,,,False
kaushambi,Kaushambi,Odisha,,,,,,False
prayagraj,Prayagraj,Odisha,25.44478,81.84322,Prayagraj,Uttar Pradesh,Prayagraj,True
varanasi,Varanasi,Odisha,18.85484,83.87134,Vāranāsi,Odisha,Gajapati,True
chitrakoot,Chitrakoot,Odisha,25.21473,80.91645,Chitrakoot Dham,Uttar Pradesh,Chitrakoot,True
araria,Araria,Odisha,26.14934,87.51323,Arāria,Bihar,Araria,True
rae bareli,Rae Bareli,Odisha,26.2309,81.23315,Raebareli,Uttar Pradesh,Rae Bareli,True
bara banki,Bara Banki,Odisha,26.92384,81.17927,Bāra Bankī,Uttar Pradesh,Barabanki,True
jaunpur,Jaunpur,Odisha,25.75356,82.68689,Jaunpur,Uttar Pradesh,Jaunpur district,True
agra,Agra,Odisha,20.49255,82.63422,Agrāyan,Odisha,Nuapada,True
madhubani,Madhubani,Odisha,26.35367,86.07169,Madhubani,Bihar,Madhubani,True
gonda,Gonda,Odisha,21.64469,84.54816,Gondam,Odisha,Deogarh,True
purnia,Purnia,Odisha,21.67851,85.7623,Purnia,Odisha,Kendujhar,True
kishanganj,Kishanganj,Odisha,26.10224,87.95534,Kishanganj,Bihar,Kishanganj,True
aurangabad,Aurangabad,Odisha,19.87757,75.34226,Aurangabad,Maharashtra,Aurangabad District,True
hapur,Hapur,Odisha,28.72985,77.78068,Hāpur,Uttar Pradesh,Hapur,True
bareilly,Bareilly,Odisha,28.36678,79.43167,Bareilly,Uttar Pradesh,Bareilly district,True
pilibhit,Pilibhit,Odisha,28.63124,79.80436,Pīlibhīt,Uttar Pradesh,Pilibhit District,True
bulandshahr,Bulandshahr,Odisha,28.40392,77.85773,Bulandshahr,Uttar Pradesh,Bulandshahr district,True
gautam buddha nagar,Gautam Buddha Nagar,Odisha,,,,,,False
kheri,Kheri,Odisha,21.96407,84.15383,Kheriākāni,Odisha,Jharsuguda,True
budaun,Budaun,Odisha,28.03811,79.12668,Budaun,Uttar Pradesh,Budaun district,True
bahraich,Bahraich,Odisha,27.57429,81.59474,Bahraich,Uttar Pradesh,Bahraich district,True
shahjahanpur,Shahjahanpur,Odisha,27.88165,79.90918,Shahjahanpur,Uttar Pradesh,Shāhjahānpur District,True
amroha,Amroha,Odisha,28.90314,78.46984,Amroha,Uttar Pradesh,Amroha district,True
kasganj,Kasganj,Odisha,27.80882,78.64579,Kasganj,Uttar Pradesh,Kasganj District,True
mainpuri,Mainpuri,Odisha,27.22857,79.02882,Mainpuri,Uttar Pradesh,Mainpuri district,True
mahrajganj,Mahrajganj,Odisha,24.30569,79.89476,Mahrājganj,Madhya Pradesh,Panna,True
aligarh,Aligarh,Odisha,27.88145,78.07464,Aligarh,Uttar Pradesh,Alīgarh District,True
siddharthnagar,Siddharthnagar,Odisha,,,,,,False
farrukhabad,Farrukhabad,Odisha,27.39134,79.5793,Farrukhābād,Uttar Pradesh,Farrukhābād District,True
hardoi,Hardoi,Odisha,27.39491,80.13165,Hardoī,Uttar Pradesh,Hardoi district,True
firozabad,Firozabad,Odisha,27.15092,78.39781,Firozabad,Uttar Pradesh,Firozabad,True
hathras,Hathras,Odisha,27.59551,78.05201,Hāthras,Uttar Pradesh,Hathras,True
sitapur,Sitapur,Odisha,20.82841,84.13535,Sītāpur,Odisha,Bauda District,True
sshrawasti,SShrawasti,Odisha,,,,,,False
mathura,Mathura,Odisha,22.05265,85.62158,Mathurāpur,Odisha,Kendujhar,True
etah,Etah,Odisha,27.55879,78.65692,Etah,Uttar Pradesh,Etah district,True
kasaragod,Kasaragod,Kerala,12.49838,74.98959,Kāsaragod,Kerala,Kasargod District,True
wayanad,Wayanad,Kerala,,,,,,False
kozhikode,Kozhikode,Kerala,11.24802,75.7804,Kozhikode,Kerala,Kozhikode,True
malappuram,Malappuram,Kerala,11.04199,76.08154,Malappuram,Kerala,Malappuram,True
palakkad,Palakkad,Kerala,10.77319,76.65366,Palakkad,Kerala,Palakkad,True
thrissur,Thrissur,Kerala,10.51667,76.21667,Thrissur,Kerala,Thrissur,True
idukki,Idukki,Kerala,9.85,76.96667,Idukki,Kerala,Idukki district,True
ernakulam,Ernakulam,Kerala,9.96714,76.29036,Ernākulam,Kerala,Ernakulam District,True
alappuzha,Alappuzha,Kerala,9.49004,76.3264,Alappuzha,Kerala,Alleppey District,True
kottayam,Kottayam,Kerala,9.58692,76.52132,Kottayam,Kerala,Kottayam,True
pathanamthitta,Pathanamthitta,Kerala,9.26667,76.78333,Pathanāmthitta,Kerala,Pathanamthitta,True
kollam,Kollam,Kerala,8.88113,76.58469,Kollam,Kerala,Kollam,True
thiruvananthapuram,Thiruvananthapuram,Kerala,8.4855,76.94924,Thiruvananthapuram,Kerala,Thiruvananthapuram,True
kannur,Kannur,Kerala,11.86752,75.35763,Kannur,Kerala,Kannur district,True
jhunjhunun,Jhunjhunun,Kerala,28.12559,75.39797,Jhunjhunūn,Rajasthan,Jhunjhunu,True
surat,Surat,Gujarat,21.19594,72.83023,Surat,Gujarat,Surat District,True
jalpaiguri,Jalpaiguri,West Bengal,26.51667,88.73333,Jalpāiguri,West Bengal,Jalpaiguri District,True
cooch behar,Cooch Behar,West Bengal,26.32539,89.44508,Koch Bihār,West Bengal,Cooch Behar,True
darjeeling,Darjeeling,West Bengal,27.03333,88.26667,Darjeeling,West Bengal,Darjeeling,True
gangtok,Gangtok,Sikkim,27.32574,88.61216,Gangtok,Sikkim,Gangtok district,True
kodagu,Kodagu,Karnataka,13.2996,77.70028,Kodagurki,Karnataka,Bengaluru Rural,True
chamarajanagaraa,Chamarajanagaraa,Karnataka,,,,,,False
tumakuru,Tumakuru,Karnataka,13.34136,77.1022,Tumakuru,Karnataka,Tumkūr,True
ramanagara,Ramanagara,Karnataka,17.00474,80.7108,Rāmanagaram,Andhra Pradesh,NTR,True
mandya,Mandya,Karnataka,12.5223,76.89746,Mandya,Karnataka,Mandya,True
mysuru,Mysuru,Karnataka,12.29791,76.63925,Mysuru,Karnataka,Mysuru,True
vijayapura,Vijayapura,Karnataka,16.82442,75.71537,Bijapur,Karnataka,Bijāpur District,True
bengaluru urban,Bengaluru Urban,Karnataka,,,,,,False
bengaluru rural,Bengaluru Rural,Karnataka,,,,,,False
dakshina kannada,Dakshina Kannada,Karnataka,,,,,,False
beedar,Beedar,Karnataka,,,,,,False
kalaburagi,Kalaburagi,Karnataka,17.33583,76.83757,Kalaburagi,Karnataka,Kalaburagi,True
belagavi,Belagavi,Karnataka,15.85212,74.50447,Belagavi,Karnataka,Belgaum district,True
yadgir,Yadgir,Karnataka,16.77007,77.13755,Yadgir,Karnataka,Yadgir,True
raichur,Raichur,Karnataka,16.20546,77.35567,Rāichūr,Karnataka,Raichur district,True
koppal,Koppal,Karnataka,15.34522,76.15478,Koppal,Karnataka,Koppal,True
gadag,Gadag,Karnataka,15.42977,75.62971,Gadag,Karnataka,Gadag,True
ballari,Ballari,Karnataka,15.14205,76.92398,Ballari,Karnataka,Ballari,True
dharwad,Dharwad,Karnataka,15.46005,75.00778,Dharwad,Karnataka,Dharwad district,True
bagalkotee,Bagalkotee,Karnataka,,,,,,False
haveri,Haveri,Karnataka,14.79354,75.40448,Hāveri,Karnataka,Haveri,True
chitradurga,Chitradurga,Karnataka,14.22262,76.40038,Chitradurga,Karnataka,Chitradurga district,True
davangere,Davangere,Karnataka,14.46693,75.92694,Davangere,Karnataka,Davangere,True
shivamogga,Shivamogga,Karnataka,13.93157,75.56791,Shivamogga,Karnataka,Shimoga District,True
udupi,Udupi,Karnataka,13.33467,74.74617,Udupi,Karnataka,Udupi,True
chikkamagaluru,Chikkamagaluru,Karnataka,13.32231,75.774,Chikkamagaluru,Karnataka,Chikkamagaluru,True
chikkaballapura,Chikkaballapura,Karnataka,,,,,,False
hassan,Hassan,Karnataka,13.00715,76.0962,Hassan,Karnataka,Hassan,True
uttar kashia kannada,Uttar Kashia Kannada,Karnataka,,,,,,False
