uei,district_norm,state,issue_date,label,latitude,longitude,n_missing_features,rain_prev_3d_mm,rain_prev_7d_mm,rain_prev_14d_mm,et0_prev_7d_mm,forecast_rain_0_24h_mm,forecast_rain_24_48h_mm,river_discharge_current_m3s,river_discharge_change_pct,elevation_m,slope_proxy_pct,historical_flood_event_count_district,historical_flood_years_count,distance_to_nearest_recorded_flood_event_km,days_since_last_recorded_flood
UEI-IMD-FL-2015-0046,alappuzha,Kerala,2015-03-26,1,9.49004,76.3264,0,1.6,1.7000000000000002,32.1,37.0,1.3,0.4,0.03,-50.0,7.0,0.631,79,33,0.0,13.0
UEI-IMD-FL-2015-0100,bara banki,Uttar Pradesh,2015-04-03,1,26.92384,81.17927,0,0.0,14.1,14.1,36.15,0.7,0.0,0.28,27.3,122.0,0.631,44,28,0.0,232.0
UEI-IMD-FL-2015-0047,alappuzha,Kerala,2015-04-05,1,9.49004,76.3264,0,6.1000000000000005,28.499999999999996,31.8,32.440000000000005,2.3,7.9,0.06,100.0,7.0,0.631,80,33,0.0,11.0
UEI-IMD-FL-2015-0034,ballari,Karnataka,2015-04-06,1,15.14205,76.92398,0,0.0,0.2,0.2,49.46,0.0,0.0,0.56,5.7,454.0,0.721,39,25,0.0,31.0
UEI-IMD-FL-2015-0049,alappuzha,Kerala,2015-04-18,1,9.49004,76.3264,0,20.1,57.89999999999999,86.10000000000001,30.049999999999997,4.5,6.3,0.12,0.0,7.0,0.631,81,33,0.0,12.0
UEI-IMD-FL-2015-0050,alappuzha,Kerala,2015-04-25,1,9.49004,76.3264,0,39.4,92.10000000000001,150.0,27.439999999999998,5.5,4.9,0.47,291.7,7.0,0.631,82,33,0.0,11.0
UEI-IMD-FL-2015-0087,coimbatore,Tamil Nadu,2015-05-13,1,11.00555,76.96612,0,13.1,30.5,36.1,27.58,18.5,5.2,3.79,501.6,422.0,0.811,25,20,0.0,357.0
UEI-IMD-FL-2015-0037,chitradurga,Karnataka,2015-05-26,1,14.22262,76.40038,1,0.3,1.4000000000000001,30.599999999999998,43.53,1.3,0.3,0.0,,738.0,1.892,21,15,0.0,267.0
UEI-IMD-FL-2015-0006,barpeta,Assam,2015-05-31,1,26.32293,91.00632,0,190.0,350.6,444.5,11.779999999999998,29.9,13.8,105.17,306.8,46.0,0.36,75,34,0.0,101.0
UEI-IMD-FL-2015-0006,dhemaji,Assam,2015-05-31,1,27.48333,94.58333,0,14.3,104.0,184.90000000000003,13.75,54.8,13.3,18.14,-51.0,109.0,1.081,111,32,0.0,101.0
UEI-IMD-FL-2015-0067,dharashiv,Maharashtra,2015-06-06,1,18.18158,76.03889,0,3.8,6.3,8.100000000000001,51.06,9.2,2.9,0.03,0.0,665.0,2.072,24,19,0.0,2458.0
UEI-IMD-FL-2015-0067,beed,Maharashtra,2015-06-06,1,18.98921,75.75634,1,0.4,1.0,3.6,54.27,11.0,2.4,0.0,,510.0,0.631,35,24,0.0,1671.0
UEI-IMD-FL-2015-0067,aurangabad,Maharashtra,2015-06-06,1,19.87757,75.34226,0,1.2,1.2,1.2,51.93,2.9,5.2,0.85,-2.3,587.0,0.631,69,37,0.0,1671.0
UEI-IMD-FL-2015-0055,alappuzha,Kerala,2015-06-07,1,9.49004,76.3264,0,33.4,85.69999999999999,154.20000000000002,21.63,23.9,11.7,1.65,-2.4,7.0,0.631,83,33,0.0,42.0
UEI-IMD-FL-2015-0007,dhemaji,Assam,2015-06-08,1,27.48333,94.58333,0,90.2,169.0,245.30000000000004,12.9,83.7,18.8,39.83,19.7,109.0,1.081,112,32,0.0,11.0
UEI-IMD-FL-2015-0007,darrang,Assam,2015-06-08,1,26.63333,92.8,0,67.1,121.8,293.40000000000003,18.91,38.3,74.4,31187.89,53.8,70.0,0.36,70,38,0.0,109.0
UEI-IMD-FL-2015-0007,baksa,Assam,2015-06-08,1,28.7643,78.00321,0,0.2,3.5,4.0,48.28,0.0,0.0,0.12,0.0,217.0,0.541,24,17,0.0,109.0
UEI-IMD-FL-2015-0007,barpeta,Assam,2015-06-08,1,26.32293,91.00632,0,39.2,100.0,499.6,21.32,43.9,101.5,50.17,-40.2,46.0,0.36,76,34,0.0,11.0
UEI-IMD-FL-2015-0004,changlang,Arunachal Pradesh,2015-06-09,1,27.13177,95.73486,0,43.7,63.6,136.79999999999998,21.3,34.7,25.5,92.54,63.7,367.0,21.802,17,14,0.0,713.0
UEI-IMD-FL-2015-0017,bhavnagar,Gujarat,2015-06-12,1,21.76287,72.15331,0,1.3,4.5,6.1,42.019999999999996,11.6,0.0,3.69,558.9,23.0,1.171,29,20,0.0,624.0
UEI-IMD-FL-2015-0017,ahmedabad,Gujarat,2015-06-12,1,23.02579,72.58727,0,0.2,1.6,1.6,46.64,0.6,0.7,1.38,0.0,53.0,0.631,42,25,0.0,624.0
UEI-IMD-FL-2015-0017,botad,Gujarat,2015-06-12,1,22.16917,71.66671,0,4.8,12.0,17.8,46.73,5.2,0.0,0.63,85.3,88.0,0.541,19,12,0.0,624.0
UEI-IMD-FL-2015-0017,amreli,Gujarat,2015-06-12,1,21.59983,71.21169,1,1.7999999999999998,7.699999999999999,8.5,39.540000000000006,6.7,3.0,0.0,,123.0,0.721,28,19,0.0,624.0
UEI-IMD-FL-2015-0089,chennai,Tamil Nadu,2015-06-16,1,13.08784,80.27847,2,4.1000000000000005,12.600000000000001,18.6,41.099999999999994,5.8,4.5,,,15.0,0.901,42,29,0.0,643.0
UEI-IMD-FL-2015-0056,alappuzha,Kerala,2015-06-18,1,9.49004,76.3264,0,47.8,147.49999999999997,235.59999999999997,18.169999999999998,14.1,8.8,2.87,-4.3,7.0,0.631,84,33,0.0,11.0
UEI-IMD-FL-2015-0019,chamba,Himachal Pradesh,2015-06-19,1,32.55531,76.12647,0,1.8,9.7,21.2,36.72,5.3,10.4,6.03,-5.9,946.0,24.685,49,24,0.0,675.0
UEI-IMD-FL-2015-0038,chikkamagaluru,Karnataka,2015-06-19,1,13.32231,75.774,0,29.200000000000003,58.400000000000006,94.3,12.530000000000001,35.7,31.3,0.25,177.8,1042.0,1.351,15,14,0.0,322.0
UEI-IMD-FL-2015-0008,dhemaji,Assam,2015-06-19,1,27.48333,94.58333,0,15.7,60.4,282.0,15.280000000000001,1.0,20.1,22.44,-37.9,109.0,1.081,113,32,0.0,11.0
UEI-IMD-FL-2015-0008,barpeta,Assam,2015-06-19,1,26.32293,91.00632,0,35.3,134.39999999999998,421.2,15.89,27.2,24.3,47.19,-46.5,46.0,0.36,77,34,0.0,11.0
UEI-IMD-FL-2015-0029,anantnag,Jammu and Kashmir,2015-07-08,1,33.73068,75.15418,0,3.5,5.300000000000001,39.300000000000004,32.29,4.1,31.9,5.68,2.7,1602.0,8.108,26,16,0.0,241.0
UEI-IMD-FL-2015-0039,ballari,Karnataka,2015-07-09,1,15.14205,76.92398,0,0.1,1.7000000000000002,2.7,43.28,0.9,0.0,0.31,-16.2,454.0,0.721,40,25,0.0,93.0
UEI-IMD-FL-2015-0101,bulandshahr,Uttar Pradesh,2015-07-10,1,28.40392,77.85773,0,25.400000000000002,51.10000000000001,51.900000000000006,32.26,39.7,17.0,0.16,166.7,209.0,1.171,27,17,0.0,2595.0
UEI-IMD-FL-2015-0101,budaun,Uttar Pradesh,2015-07-10,1,28.03811,79.12668,0,20.4,68.9,146.20000000000002,29.99,38.4,66.2,0.45,9.8,176.0,0.631,26,18,0.0,1781.0
UEI-IMD-FL-2015-0101,bareilly,Uttar Pradesh,2015-07-10,1,28.36678,79.43167,0,26.5,65.8,138.50000000000003,27.74,23.1,57.1,1.62,0.0,177.0,0.36,33,22,0.0,1754.0
UEI-IMD-FL-2015-0009,darrang,Assam,2015-07-13,1,26.63333,92.8,0,9.5,24.6,80.9,23.07,20.4,51.6,24433.31,-23.1,70.0,0.36,71,38,0.0,34.0
UEI-IMD-FL-2015-0009,barpeta,Assam,2015-07-13,1,26.32293,91.00632,0,77.79999999999998,154.5,208.3,24.259999999999998,18.2,38.7,37.82,-0.9,46.0,0.36,78,34,0.0,23.0
UEI-IMD-FL-2015-0009,bongaigaon,Assam,2015-07-13,1,26.47703,90.55815,0,70.0,113.4,207.89999999999998,22.979999999999997,18.5,56.1,4.64,-13.6,59.0,0.36,46,28,0.0,144.0
UEI-IMD-FL-2015-0009,chirang,Assam,2015-07-13,1,29.87368,79.81931,0,72.5,125.3,304.1,14.049999999999999,1.7,7.2,6.1,36.5,1202.0,33.243,22,16,0.0,144.0
UEI-IMD-FL-2015-0009,dhemaji,Assam,2015-07-13,1,27.48333,94.58333,0,28.3,49.7,137.0,27.720000000000002,13.0,66.7,19.8,-6.7,109.0,1.081,114,32,0.0,23.0
UEI-IMD-FL-2015-0009,dhubri,Assam,2015-07-13,1,26.01856,89.98564,0,41.10000000000001,130.9,206.29999999999995,21.85,14.7,20.8,33495.55,-27.6,34.0,0.901,69,36,0.0,144.0
UEI-IMD-FL-2015-0009,baksa,Assam,2015-07-13,1,28.7643,78.00321,0,129.8,187.1,223.89999999999998,16.029999999999998,0.8,0.6,2.03,554.8,217.0,0.541,25,17,0.0,34.0
UEI-IMD-FL-2015-0009,biswanath,Assam,2015-07-13,1,26.72577,93.14659,0,9.8,26.0,80.8,22.689999999999998,10.6,42.0,5.47,-32.1,81.0,0.541,22,17,0.0,144.0
UEI-IMD-FL-2015-0091,chennai,Tamil Nadu,2015-07-16,1,13.08784,80.27847,2,13.8,17.0,23.799999999999997,41.86,0.2,0.4,,,15.0,0.901,43,30,0.0,29.0
UEI-IMD-FL-2015-0065,betul,Madhya Pradesh,2015-07-18,1,21.90056,77.90229,0,1.2,9.099999999999998,54.3,28.14,18.8,9.2,0.19,-53.7,644.0,0.991,17,14,0.0,363.0
UEI-IMD-FL-2015-0065,burhanpur,Madhya Pradesh,2015-07-18,1,21.30868,76.23026,0,0.4,0.4,1.4000000000000001,37.5,2.9,14.6,8.27,19.3,249.0,1.892,13,12,0.0,368.0
UEI-IMD-FL-2015-0065,chhindwara,Madhya Pradesh,2015-07-18,1,22.05697,78.93958,0,0.1,17.3,109.59999999999998,25.47,14.8,1.3,0.26,-92.0,690.0,1.712,26,19,0.0,1075.0
UEI-IMD-FL-2015-0079,barmer,Rajasthan,2015-07-21,1,25.74572,71.39211,0,0.0,0.0,0.5,53.620000000000005,5.9,10.5,0.16,45.5,207.0,3.874,19,12,0.0,1825.0
UEI-IMD-FL-2015-0079,bhilwara,Rajasthan,2015-07-21,1,25.34707,74.64081,0,34.7,35.0,49.099999999999994,33.54,11.6,23.6,0.37,164.3,419.0,0.901,21,17,0.0,357.0
UEI-IMD-FL-2015-0079,bikaner,Rajasthan,2015-07-21,1,28.01762,73.31495,0,2.7,2.8,46.2,52.87,1.8,14.1,0.31,-61.3,232.0,0.901,28,17,0.0,1427.0
UEI-IMD-FL-2015-0079,dholpur,Rajasthan,2015-07-21,1,20.70376,84.48351,0,12.0,35.70000000000001,125.39999999999998,23.509999999999998,24.7,10.4,2161.72,-9.2,84.0,0.991,17,13,0.0,885.0
UEI-IMD-FL-2015-0079,ajmer,Rajasthan,2015-07-21,1,26.4521,74.63867,0,43.6,43.800000000000004,68.89999999999999,37.54,4.1,23.5,0.49,157.9,482.0,10.27,36,26,0.0,344.0
UEI-IMD-FL-2015-0014,banka,Bihar,2015-07-23,1,20.88149,82.49988,0,19.5,38.3,196.30000000000004,23.009999999999998,5.7,17.2,2.36,-63.3,323.0,0.901,33,21,0.0,312.0
UEI-IMD-FL-2015-0014,darbhanga,Bihar,2015-07-23,1,26.15216,85.89707,0,30.9,63.8,108.19999999999997,24.610000000000003,5.2,6.9,0.72,-7.7,51.0,0.18,55,33,0.0,343.0
UEI-IMD-FL-2015-0014,buxar,Bihar,2015-07-23,1,25.57548,83.98043,0,8.1,70.5,137.20000000000005,23.96,17.5,8.4,0.99,-19.5,68.0,1.441,31,19,0.0,2874.0
UEI-IMD-FL-2015-0014,bhojpur,Bihar,2015-07-23,1,21.65118,84.40641,0,33.7,105.3,200.99999999999997,15.990000000000002,20.4,34.6,14.35,30.6,279.0,2.703,41,27,0.0,715.0
UEI-IMD-FL-2015-0014,gopalganj,Bihar,2015-07-23,1,26.46734,84.44041,0,2.8000000000000003,156.0,218.4,26.53,8.3,8.9,0.72,-28.0,73.0,0.45,42,28,0.0,696.0
UEI-IMD-FL-2015-0014,begusarai,Bihar,2015-07-23,1,25.41853,86.13389,0,21.0,55.099999999999994,131.0,21.12,6.0,8.5,1.0,-31.0,45.0,0.18,41,26,0.0,312.0
UEI-IMD-FL-2015-0014,bhagalpur,Bihar,2015-07-23,1,25.24446,86.97183,0,28.099999999999998,58.599999999999994,164.0,19.529999999999998,12.1,6.2,81.6,-2.8,51.0,1.532,46,30,0.0,312.0
UEI-IMD-FL-2015-0014,aurangabad,Bihar,2015-07-23,1,19.87757,75.34226,0,15.3,18.9,19.7,27.519999999999996,2.3,0.0,1.01,18.8,587.0,0.631,70,38,0.0,46.0
UEI-IMD-FL-2015-0014,araria,Bihar,2015-07-23,1,26.14934,87.51323,0,64.8,141.4,199.2,22.83,14.2,0.6,86.5,-6.3,53.0,0.36,34,21,0.0,742.0
UEI-IMD-FL-2015-0014,arwal,Bihar,2015-07-23,1,25.24281,84.66571,0,14.7,95.59999999999998,161.0,23.080000000000002,12.5,8.4,5.08,32.6,78.0,0.18,29,18,0.0,2874.0
UEI-IMD-FL-2015-0072,akola,Maharashtra,2015-08-05,1,20.70957,76.9981,0,79.8,81.2,107.0,25.580000000000002,26.3,1.3,11.5,2848.7,285.0,0.36,43,28,0.0,774.0
UEI-IMD-FL-2015-0072,amravati,Maharashtra,2015-08-05,1,20.93333,77.75,0,138.7,140.3,166.5,25.11,14.1,1.4,15.83,52666.7,342.0,0.721,59,31,0.0,734.0
UEI-IMD-FL-2015-0072,chandrapur,Maharashtra,2015-08-05,1,19.95076,79.29523,0,76.2,79.1,104.5,25.630000000000003,3.5,7.2,5.21,3621.4,184.0,1.261,46,27,0.0,331.0
UEI-IMD-FL-2015-0023,chamba,Himachal Pradesh,2015-08-07,1,32.55531,76.12647,0,57.099999999999994,169.40000000000003,271.0,18.14,25.6,4.2,16.99,-8.4,946.0,24.685,50,25,0.0,48.0
UEI-IMD-FL-2015-0023,bilaspur,Himachal Pradesh,2015-08-07,1,31.33027,76.75663,0,17.6,60.79999999999999,113.70000000000002,20.44,40.8,1.4,6.24,14.7,506.0,14.054,47,25,0.0,366.0
UEI-IMD-FL-2015-0066,betul,Madhya Pradesh,2015-08-12,1,21.90056,77.90229,0,26.8,91.9,210.8,13.31,19.8,3.7,4.52,-19.0,644.0,0.991,18,15,0.0,24.0
UEI-IMD-FL-2015-0010,darrang,Assam,2015-08-18,1,26.63333,92.8,0,23.900000000000002,61.099999999999994,110.60000000000002,18.7,24.4,44.4,27414.76,77.8,70.0,0.36,72,38,0.0,35.0
UEI-IMD-FL-2015-0010,barpeta,Assam,2015-08-18,1,26.32293,91.00632,0,31.3,98.69999999999999,202.80000000000004,24.9,16.5,61.6,26.54,-10.2,46.0,0.36,79,34,0.0,35.0
UEI-IMD-FL-2015-0010,bongaigaon,Assam,2015-08-18,1,26.47703,90.55815,0,64.80000000000001,117.0,201.89999999999998,21.119999999999997,23.4,140.6,4.81,114.7,59.0,0.36,47,28,0.0,35.0
UEI-IMD-FL-2015-0010,chirang,Assam,2015-08-18,1,29.87368,79.81931,0,44.1,196.8,322.4,17.810000000000002,6.1,7.3,16.91,4.5,1202.0,33.243,23,16,0.0,35.0
UEI-IMD-FL-2015-0010,dhemaji,Assam,2015-08-18,1,27.48333,94.58333,0,40.6,67.8,118.8,19.91,25.2,15.1,19.75,92.3,109.0,1.081,115,32,0.0,35.0
UEI-IMD-FL-2015-0010,dhubri,Assam,2015-08-18,1,26.01856,89.98564,0,24.799999999999997,49.6,113.80000000000001,23.07,21.8,54.3,36390.49,53.5,34.0,0.901,70,36,0.0,35.0
UEI-IMD-FL-2015-0011,darrang,Assam,2015-08-24,1,26.63333,92.8,0,180.2,278.0,332.7,12.46,8.9,30.7,28118.0,26.5,70.0,0.36,73,38,0.0,11.0
UEI-IMD-FL-2015-0011,baksa,Assam,2015-08-24,1,28.7643,78.00321,0,9.3,24.8,79.3,29.330000000000002,0.0,0.0,0.25,-50.0,217.0,0.541,26,17,0.0,41.0
UEI-IMD-FL-2015-0011,dhubri,Assam,2015-08-24,1,26.01856,89.98564,0,43.6,161.6,206.1,13.610000000000001,49.9,23.0,46024.67,52.8,34.0,0.901,71,36,0.0,11.0
UEI-IMD-FL-2015-0011,barpeta,Assam,2015-08-24,1,26.32293,91.00632,0,118.6,228.10000000000002,321.0,14.32,14.3,13.5,78.62,201.2,46.0,0.36,80,34,0.0,11.0
UEI-IMD-FL-2015-0011,dhemaji,Assam,2015-08-24,1,27.48333,94.58333,0,53.3,132.7,189.29999999999998,12.08,3.6,7.1,25.85,90.8,109.0,1.081,116,32,0.0,11.0
UEI-IMD-FL-2015-0077,amritsar,Punjab,2015-08-31,1,31.62234,74.87534,0,4.9,15.899999999999999,79.2,31.19,0.0,0.0,0.7,-51.4,246.0,1.171,41,26,0.0,361.0
UEI-IMD-FL-2015-0077,bathinda,Punjab,2015-08-31,1,30.20747,74.93893,0,1.2000000000000002,5.0,24.6,33.9,0.0,0.0,0.06,-81.8,223.0,1.532,35,21,0.0,1194.0
UEI-IMD-FL-2015-0077,barnala,Punjab,2015-08-31,1,30.37451,75.5487,0,2.0,8.599999999999998,35.70000000000001,32.260000000000005,0.0,0.0,0.09,-70.0,237.0,0.541,17,12,0.0,3680.0
UEI-IMD-FL-2015-0012,dhubri,Assam,2015-08-31,1,26.01856,89.98564,0,49.8,143.20000000000002,304.8,16.150000000000002,26.9,48.6,60393.89,31.2,34.0,0.901,72,36,0.0,11.0
UEI-IMD-FL-2015-0012,dhemaji,Assam,2015-08-31,1,27.48333,94.58333,0,159.10000000000002,190.4,323.1,14.67,4.8,13.3,50.88,96.8,109.0,1.081,117,32,0.0,11.0
UEI-IMD-FL-2015-0012,darrang,Assam,2015-08-31,1,26.63333,92.8,0,71.3,179.3,457.29999999999995,15.520000000000001,17.0,6.4,40270.71,43.2,70.0,0.36,74,38,0.0,11.0
UEI-IMD-FL-2015-0012,bongaigaon,Assam,2015-08-31,1,26.47703,90.55815,0,253.5,308.70000000000005,696.5999999999999,15.82,13.8,15.3,8.98,14.4,59.0,0.36,48,28,0.0,12.0
UEI-IMD-FL-2015-0012,baksa,Assam,2015-08-31,1,28.7643,78.00321,0,5.4,7.4,32.2,31.82,0.0,0.0,0.16,-36.0,217.0,0.541,27,17,0.0,11.0
UEI-IMD-FL-2015-0012,barpeta,Assam,2015-08-31,1,26.32293,91.00632,0,60.3,113.2,341.29999999999995,17.28,11.1,29.7,59.26,-24.6,46.0,0.36,81,34,0.0,11.0
UEI-IMD-FL-2015-0040,ballari,Karnataka,2015-09-04,1,15.14205,76.92398,0,0.0,3.3,23.599999999999998,36.21,3.8,11.3,0.53,-24.3,454.0,0.721,41,25,0.0,56.0
UEI-IMD-FL-2015-0040,chitradurga,Karnataka,2015-09-04,1,14.22262,76.40038,1,1.4,1.8,17.499999999999996,31.94,5.5,2.7,0.0,,738.0,1.892,22,16,0.0,100.0
UEI-IMD-FL-2015-0099,adilabad,Telangana,2015-09-05,1,19.67203,78.5359,0,2.6,34.0,55.199999999999996,25.2,1.0,6.2,0.05,-98.8,255.0,1.081,22,14,0.0,364.0
UEI-IMD-FL-2015-0016,bastar,Chhattisgarh,2015-09-17,1,23.23142,80.60603,0,34.5,42.1,48.4,28.859999999999996,0.6,4.3,2.53,-4.9,583.0,4.234,7,7,0.0,339.0
UEI-IMD-FL-2015-0013,dhemaji,Assam,2015-09-22,1,27.48333,94.58333,0,98.5,109.1,131.9,21.96,15.1,23.8,32.34,73.6,109.0,1.081,118,32,0.0,21.0
UEI-IMD-FL-2015-0032,anantnag,Jammu and Kashmir,2015-09-22,1,33.73068,75.15418,0,2.6,2.6,3.2,29.13,13.6,0.0,11.13,323.2,1602.0,8.108,27,17,0.0,75.0
UEI-IMD-FL-2015-0042,dharwad,Karnataka,2015-09-30,1,15.46005,75.00778,0,2.4,2.5,17.299999999999997,32.52,20.1,2.1,0.31,10.7,728.0,1.712,37,23,0.0,360.0
UEI-IMD-FL-2015-0042,davangere,Karnataka,2015-09-30,1,14.46693,75.92694,0,12.7,18.3,30.2,31.290000000000003,16.5,7.6,0.01,0.0,588.0,0.901,20,14,0.0,802.0
UEI-IMD-FL-2015-0042,ballari,Karnataka,2015-09-30,1,15.14205,76.92398,0,3.0,13.2,21.999999999999996,33.260000000000005,7.8,8.3,0.38,11.8,454.0,0.721,42,25,0.0,25.0
UEI-IMD-FL-2015-0042,chitradurga,Karnataka,2015-09-30,1,14.22262,76.40038,0,14.9,25.2,34.4,30.400000000000002,17.9,8.2,0.01,0.0,738.0,1.892,23,16,0.0,25.0
UEI-IMD-FL-2015-0102,aligarh,Uttar Pradesh,2015-10-27,1,27.88145,78.07464,0,6.2,6.3,10.600000000000001,32.79,3.0,1.6,1.26,18.9,191.0,0.27,26,16,0.0,2704.0
UEI-IMD-FL-2015-0102,budaun,Uttar Pradesh,2015-10-27,1,28.03811,79.12668,0,0.0,0.5,10.9,31.050000000000004,0.7,5.4,0.09,-18.2,176.0,0.631,27,19,0.0,108.0
UEI-IMD-FL-2015-0102,bareilly,Uttar Pradesh,2015-10-27,1,28.36678,79.43167,0,0.0,2.2,9.399999999999999,30.64,0.1,6.6,0.51,-8.9,177.0,0.36,34,23,0.0,108.0
UEI-IMD-FL-2015-0102,bijnor,Uttar Pradesh,2015-10-27,1,29.373,78.13636,0,0.4,0.7,7.9,29.869999999999997,0.3,0.0,0.19,26.7,240.0,0.901,26,16,0.0,2704.0
UEI-IMD-FL-2015-0102,agra,Uttar Pradesh,2015-10-27,1,20.49255,82.63422,0,0.0,0.1,0.7,29.849999999999994,0.0,0.0,0.09,-10.0,277.0,1.081,29,18,0.0,1877.0
UEI-IMD-FL-2015-0102,bulandshahr,Uttar Pradesh,2015-10-27,1,28.40392,77.85773,0,2.3,3.5,9.899999999999999,32.04,4.5,0.0,0.04,0.0,209.0,1.171,28,18,0.0,108.0
UEI-IMD-FL-2015-0102,auraiya,Uttar Pradesh,2015-10-27,1,26.46517,79.50918,0,0.3,0.3,1.0,33.92,15.7,10.8,0.01,-50.0,145.0,0.631,22,14,0.0,2704.0
UEI-IMD-FL-2015-0102,baghpat,Uttar Pradesh,2015-10-27,1,28.94485,77.21865,0,1.4,1.5,8.2,32.10999999999999,0.4,0.0,0.03,50.0,228.0,1.171,23,14,0.0,2704.0
UEI-IMD-FL-2015-0102,amroha,Uttar Pradesh,2015-10-27,1,28.90314,78.46984,0,0.3,0.8999999999999999,10.4,30.249999999999996,0.8,0.0,2.86,38.2,218.0,0.45,24,16,0.0,2704.0
UEI-IMD-FL-2015-0043,chitradurga,Karnataka,2015-11-01,1,14.22262,76.40038,0,1.5,1.5,1.5,33.949999999999996,11.0,8.3,0.01,0.0,738.0,1.892,24,16,0.0,31.0
UEI-IMD-FL-2015-0092,ariyalur,Tamil Nadu,2015-11-08,1,11.13849,79.07556,0,14.8,50.099999999999994,98.2,21.17,200.4,58.0,17.28,2879.3,80.0,1.081,10,8,0.0,1803.0
UEI-IMD-FL-2015-0092,coimbatore,Tamil Nadu,2015-11-08,1,11.00555,76.96612,0,37.4,116.89999999999999,151.29999999999998,19.32,3.1,14.8,1.61,-73.2,422.0,0.811,26,21,0.0,178.0
UEI-IMD-FL-2015-0092,dharmapuri,Tamil Nadu,2015-11-08,1,12.1277,78.15794,0,1.0,60.0,65.8,22.05,104.0,52.7,0.91,4450.0,467.0,1.171,10,8,0.0,722.0
UEI-IMD-FL-2015-0092,chennai,Tamil Nadu,2015-11-08,1,13.08784,80.27847,2,12.399999999999999,54.2,102.30000000000001,21.4,80.8,1.8,,,15.0,0.901,44,30,0.0,114.0
UEI-IMD-FL-2015-0093,dharmapuri,Tamil Nadu,2015-11-10,1,12.1277,78.15794,0,118.4,158.7,183.4,20.610000000000003,3.1,3.9,12.21,20250.0,467.0,1.171,11,9,0.0,11.0
UEI-IMD-FL-2015-0093,cuddalore,Tamil Nadu,2015-11-10,1,11.75617,79.76693,2,231.5,252.5,355.5,19.070000000000004,3.5,7.4,,,7.0,0.36,26,16,0.0,724.0
UEI-IMD-FL-2015-0093,chennai,Tamil Nadu,2015-11-10,1,13.08784,80.27847,2,139.89999999999998,162.2,234.0,19.730000000000004,14.0,16.0,,,15.0,0.901,45,30,0.0,11.0
UEI-IMD-FL-2015-0002,chittoor,Andhra Pradesh,2015-11-14,1,13.21055,79.0956,0,19.0,138.1,181.9,14.020000000000001,24.3,48.9,10.07,753.4,320.0,1.712,16,12,0.0,1108.0
UEI-IMD-FL-2015-0094,cuddalore,Tamil Nadu,2015-11-17,1,11.75617,79.76693,2,134.9,207.2,459.69999999999993,15.610000000000003,1.7,8.0,,,7.0,0.36,27,17,0.0,11.0
